actype,version,isa_offset,phase,fl,tas,rocd_lo,rocd_nom,rocd_hi,fuel_lo,fuel_nom,fuel_hi
A333,thaiapm-202607,15,descent,220,386.0,,1709.0,,,,
A333,thaiapm-202607,15,climb,240,422.0,1328.0,1138.0,959.0,,,
A333,thaiapm-202607,15,descent,240,397.0,,1744.0,,,,
A333,thaiapm-202607,15,climb,260,434.0,1169.0,991.0,823.0,,,
A333,thaiapm-202607,15,descent,260,409.0,,1778.0,,,,
A333,thaiapm-202607,15,climb,280,447.0,1056.0,894.0,738.0,,,
A333,thaiapm-202607,15,descent,280,420.0,,1809.0,,,,
A333,thaiapm-202607,15,climb,300,458.0,1041.0,878.0,730.0,,,
A333,thaiapm-202607,15,descent,300,433.0,,1825.0,,,,
A333,thaiapm-202607,15,climb,320,467.0,1184.0,975.0,784.0,,,
A333,thaiapm-202607,15,descent,320,446.0,,1825.0,,,,
A333,thaiapm-202607,15,climb,340,463.0,1297.0,1041.0,808.0,,,
A333,thaiapm-202607,15,descent,340,456.0,,1856.0,,,,
A333,thaiapm-202607,15,cruise,340,472.0,,,,,,
A333,thaiapm-202607,15,climb,360,459.0,1225.0,975.0,753.0,,,
A333,thaiapm-202607,15,descent,360,452.0,,1697.0,,,,
A333,thaiapm-202607,15,cruise,360,468.0,,,,,,
A333,thaiapm-202607,15,climb,380,459.0,1097.0,878.0,672.0,,,
A333,thaiapm-202607,15,descent,380,452.0,,1273.0,,,,
A333,thaiapm-202607,15,cruise,380,468.0,,,,,,
A333,thaiapm-202607,15,climb,400,459.0,944.0,752.0,559.0,,,
A333,thaiapm-202607,15,descent,400,452.0,,1002.0,,,,
A333,thaiapm-202607,15,cruise,400,468.0,,,,,,
A338,thaiapm-202607,15,climb,0,175.0,2306.0,2159.0,2005.0,,,
A338,thaiapm-202607,15,descent,0,147.0,,769.0,,,,
A338,thaiapm-202607,15,climb,5,176.0,2306.0,2159.0,2005.0,,,
A338,thaiapm-202607,15,descent,5,148.0,,769.0,,,,
A338,thaiapm-202607,15,climb,10,177.0,2306.0,2159.0,2005.0,,,
A338,thaiapm-202607,15,descent,10,149.0,,769.0,,,,
A338,thaiapm-202607,15,climb,15,181.0,2082.0,1924.0,1777.0,,,
A338,thaiapm-202607,15,descent,15,159.0,,808.0,,,,
A338,thaiapm-202607,15,climb,20,186.0,1858.0,1688.0,1550.0,,,
A338,thaiapm-202607,15,descent,20,169.0,,847.0,,,,
A338,thaiapm-202607,15,climb,30,194.0,1410.0,1217.0,1095.0,,,
A338,thaiapm-202607,15,descent,30,189.0,,925.0,,,,
